,Curso,Categorização do trabalho,Tipo de trabalho,Começou a trabalhar remotamente com a pandemia?,O trabalho remoto afetou os estudos?,Horas trabalhadas,"Se você já trabalhou presencialmente, acredita que no trabalho remoto sua carga horária:",Qual é seu nível de satisfação com o trabalho remoto?,Você acredita que o seu rendimento com trabalho remoto é:
0,Sistemas de Informação,Empregado,Remoto,Sim,Neutro,6.0,Sem alteções,7.0,Igual ao presencial
3,Sistemas de Informação,Empregado,Remoto,Não,Positivamente,8.0,Sem alteções,10.0,Maior
4,Sistemas de Informação,Empregado,Remoto,Sim,Neutro,6.0,Aumentou,6.0,Menor
5,Sistemas de Informação,Empregado,Remoto,Sim,Negativamente,14.0,Aumentou,2.0,Menor
14,Sistemas de Informação,Empregado,Remoto,Não,Negativamente,6.0,Sem alteções,5.0,Menor
22,Engenharia de Materiais,Empregado,Remoto,Sim,Neutro,2.0,Aumentou,7.0,Maior
37,Sistemas de Informação,Empregado,Remoto,Sim,Neutro,8.0,Sem alteções,10.0,Maior
38,Sistemas de Informação,Empregado,Remoto,Sim,Negativamente,8.0,Aumentou,8.0,Maior
66,Sistemas de Informação,Empregado,Remoto,Sim,Neutro,6.0,Sem alteções,9.0,Maior
67,Sistemas de Informação,Empregado,Remoto,Sim,Negativamente,10.0,Aumentou,9.0,Maior
73,Sistemas de Informação,Empregado,Remoto,Sim,Neutro,6.0,Sem alteções,5.0,Igual ao presencial
77,Engenharia de Computação,Empregado,Remoto,Sim,Positivamente,8.0,Diminuiu,10.0,Maior
79,Ciência da Computação,Empregado,Remoto,Sim,Negativamente,8.0,Aumentou,10.0,Maior
80,Ciência da Computação,Empregado,Remoto,Não,Neutro,6.0,Aumentou,8.0,Maior
81,Engenharia de Computação,Empregado,Remoto,Não,Negativamente,6.0,Sem alteções,9.0,Maior
84,Ciência da Computação,Empregado,Remoto,Sim,Negativamente,8.0,Aumentou,8.0,Maior
87,Sistemas de Informação,Empregado,Remoto,Sim,Positivamente,9.0,Aumentou,7.0,Igual ao presencial
88,Engenharia de Produção,Empregado,Remoto,Sim,Negativamente,6.0,Aumentou,10.0,Maior
89,Engenharia Química,Empregado,Remoto,Sim,Neutro,6.0,Sem alteções,10.0,Maior
90,Física Bacharelado,Empregado,Remoto,Sim,Negativamente,10.0,Aumentou,8.0,Maior
91,Engenharia Química,Empregado,Remoto,Não,Negativamente,9.0,Aumentou,10.0,Maior
95,Engenharia de Materiais,Empregado,Remoto,Não,Neutro,6.0,Aumentou,9.0,Maior
97,Engenharia de Materiais,Empregado,Remoto,Não,Negativamente,8.0,Aumentou,8.0,Maior
