,Curso,Categorização do trabalho,"Se você tivesse oportunidade, aderiria ao trabalho remoto?",Como você acredita que o trabalho remoto possa afetar os estudos?,Você acredita que a carga horária do trabalho remoto em relação ao presencial é:,Você acredita que o rendimento no trabalho remoto em relação ao presencial é?,Qual é a sua vontade de trabalhar remotamente?,Você teria algum motivo para não trabalhar remotamente?,Tipo de trabalho
0,Engenharia Ambiental,Não empregado,Sim,Neutro,Maior,Menor,1.0,"Não rendo muito ficando apenas no computador, preciso de um ambiente bom com pessoas ",Não empregado
1,Química Licenciatura,Não empregado,Sim,Neutro,Maior,Igual,6.0,,Não empregado
2,Sistemas de Informação,Não empregado,Sim,Neutro,Maior,Menor,2.0,,Não empregado
3,Química Bacharelado,Não empregado,Sim,Neutro,Maior,Maior,8.0,Comodidade.,Não empregado
4,Ciência da Computação,Não empregado,Sim,Negativamente,Maior,Menor,4.0,Só os horários de aulas coincidirem com a carga horária do trabalho,Não empregado
5,Física Bacharelado,Não empregado,Sim,Neutro,Igual,Menor,7.0,,Não empregado
6,Engenharia de Materiais,Não empregado,Sim,Neutro,Igual,Maior,7.0,Espaço apropriado,Não empregado
7,Sistemas de Informação,Não empregado,Sim,Neutro,Igual,Igual,10.0,Não ,Não empregado
8,Ciência da Computação,Não empregado,Sim,Positivamente,Igual,Maior,10.0,Não possuo,Não empregado
9,Engenharia Mecânica,Não empregado,Sim,Neutro,Menor,Menor,9.0,,Não empregado
10,Física Bacharelado,Não empregado,Sim,Negativamente,Igual,Maior,5.0,,Não empregado
11,Engenharia de Materiais,Não empregado,Sim,Neutro,Igual,Menor,5.0,,Não empregado
12,Engenharia Química,Não empregado,Não,Neutro,Maior,Menor,4.0,,Não empregado
13,Química Bacharelado,Não empregado,Sim,Neutro,Igual,Menor,7.0,"Sim, internet irregular.",Não empregado
14,Sistemas de Informação,Não empregado,Sim,Neutro,Maior,Maior,7.0,Nenhum,Não empregado
15,Química Licenciatura,Não empregado,Não,Negativamente,Maior,Menor,3.0,"O ""trabalho em casa"" acaba sendo infinito, sem horário e dia definido, tornando-o exaustivo.",Não empregado
16,Engenharia de Materiais,Não empregado,Sim,Negativamente,Maior,Menor,1.0,,Não empregado
17,Química Bacharelado,Não empregado,Sim,Neutro,Maior,Maior,6.0,Não,Não empregado
18,Ciência da Computação,Não empregado,Sim,Neutro,Igual,Maior,8.0,,Não empregado
19,Engenharia Mecânica,Não empregado,Não,Neutro,Maior,Igual,3.0,,Não empregado
20,Matemática Bacharelado,Não empregado,Sim,Neutro,Maior,Maior,8.0,Nenhum,Não empregado
21,Engenharia Mecânica,Não empregado,Não,Negativamente,Igual,Menor,4.0,,Não empregado
22,Sistemas de Informação,Não empregado,Sim,Neutro,Menor,Menor,8.0,,Não empregado
23,Sistemas de Informação,Não empregado,Sim,Neutro,Maior,Maior,7.0,,Não empregado
24,Sistemas de Informação,Não empregado,Sim,Negativamente,Maior,Maior,9.0,Atrapalhar os estudos,Não empregado
25,Engenharia Mecânica,Não empregado,Não,Negativamente,Maior,Menor,1.0,"Falta de motivação ao trabalho em casa, já que o rendimento pra mim é bem menor que presencialmente.",Não empregado
26,Sistemas de Informação,Não empregado,Sim,Neutro,Igual,Menor,8.0,Não,Não empregado
27,Engenharia Mecânica,Não empregado,Sim,Negativamente,Igual,Menor,9.0,Sim,Não empregado
28,Engenharia de Materiais,Não empregado,Sim,Neutro,Menor,Menor,6.0,,Não empregado
29,Matemática Bacharelado,Não empregado,Sim,Neutro,Maior,Menor,8.0,,Não empregado
30,Engenharia Mecânica,Não empregado,Sim,Neutro,Maior,Igual,6.0,,Não empregado
31,Sistemas de Informação,Não empregado,Sim,Positivamente,Igual,Menor,6.0,Muitas distrações em casa. Dificil focar,Não empregado
32,Química Bacharelado,Não empregado,Não,Neutro,Menor,Igual,1.0,Sinto que possuo mais dedicação presencialmente,Não empregado
33,Engenharia de Materiais,Não empregado,Sim,Positivamente,Maior,Maior,5.0,Não,Não empregado
34,Engenharia Mecânica,Não empregado,Sim,Negativamente,Menor,Menor,8.0,Não,Não empregado
35,Química Bacharelado,Não empregado,Não,Negativamente,Menor,Menor,4.0,Nao,Não empregado
36,Engenharia Mecânica,Não empregado,Não,Negativamente,Menor,Menor,5.0,,Não empregado
37,Matemática Bacharelado,Não empregado,Não,Negativamente,Igual,Menor,4.0,,Não empregado
38,Matemática Bacharelado,Não empregado,Não,Negativamente,Maior,Menor,3.0,Não me sinto bem passando o dia todo em casa olhando pra uma tela,Não empregado
39,Sistemas de Informação,Não empregado,Sim,Positivamente,Maior,Igual,8.0,,Não empregado
40,Engenharia de Materiais,Não empregado,Sim,Negativamente,Maior,Menor,6.0,,Não empregado
41,Engenharia de Materiais,Não empregado,Sim,Positivamente,Maior,Igual,7.0,,Não empregado
42,Sistemas de Informação,Não empregado,Sim,Negativamente,Maior,Menor,5.0,Nao,Não empregado
43,Física Bacharelado,Não empregado,Sim,Neutro,Maior,Menor,10.0,Não,Não empregado
44,Engenharia Mecânica,Não empregado,Sim,Neutro,Maior,Maior,9.0,Falta de recursos quando requisitados,Não empregado
45,Sistemas de Informação,Não empregado,Sim,Positivamente,Maior,Igual,7.0,Nenhum.,Não empregado
46,Sistemas de Informação,Não empregado,Sim,Neutro,Menor,Menor,6.0,Acho que me desenvolvo melhor presencialmente,Não empregado
47,Engenharia Mecânica,Não empregado,Sim,Neutro,Maior,Menor,4.0,"Eu gosto mais de trabalhar presencialmente, mas no momento atual, um trabalho remoto ajudaria.",Não empregado
48,Matemática Bacharelado,Não empregado,Não,Neutro,Maior,Menor,5.0,Nao ,Não empregado
49,Matemática Bacharelado,Não empregado,Sim,Neutro,Menor,Maior,6.0,Nenhum,Não empregado
50,Engenharia Mecânica,Não empregado,Sim,Negativamente,Maior,Maior,6.0,,Não empregado
