,Curso,Categorização do trabalho,"Se você tivesse oportunidade, aderiria ao trabalho remoto?",Como você acredita que o trabalho remoto possa afetar os estudos?,Você acredita que a carga horária do trabalho remoto em relação ao presencial é:,Você acredita que o rendimento no trabalho remoto em relação ao presencial é?,Qual é a sua vontade de trabalhar remotamente?,Você teria algum motivo para não trabalhar remotamente?,Tipo de trabalho
8,Sistemas de Informação,Empregado,Sim,Neutro,Maior,Maior,10.0,Não iria conseguir um local adequado em casa para realizar o trabalho remoto ,Presencial
9,Sistemas de Informação,Empregado,Não,Positivamente,Igual,Maior,10.0,Não,Presencial
27,Sistemas de Informação,Empregado,Sim,Positivamente,Maior,Maior,10.0,Não,Presencial
29,Física Bacharelado,Empregado,Sim,Negativamente,Menor,Menor,5.0,,Presencial
32,Engenharia Química,Empregado,Sim,Neutro,Igual,Igual,10.0,Não,Presencial
33,Química Licenciatura,Empregado,Não,Neutro,Maior,Menor,1.0,O tipo de trabalho que eu exerço não é possível remotamente.,Presencial
48,Sistemas de Informação,Empregado,Sim,Neutro,Igual,Menor,6.0,Sim,Presencial
50,Ciência da Computação,Empregado,Não,Negativamente,Maior,Igual,7.0,,Presencial
65,Química Licenciatura,Empregado,Não,Neutro,Maior,Menor,1.0,,Presencial
68,Sistemas de Informação,Empregado,Não,Neutro,Maior,Menor,7.0,Acredito que a comodidade de estar em casa afeta o desempenho no trabalho.,Presencial
69,Engenharia Ambiental,Empregado,Sim,Neutro,Igual,Menor,8.0,,Presencial
70,Física Bacharelado,Empregado,Sim,Neutro,Maior,Menor,8.0,Não,Presencial
78,Sistemas de Informação,Empregado,Sim,Neutro,Igual,Igual,10.0,,Presencial
85,Sistemas de Informação,Empregado,Sim,Neutro,Maior,Menor,8.0,Acredito que trabalho remoto pode ser afetado pelo excesso de conforto de estar em casa.,Presencial
