"Carimbo de data/hora","Curso","Categorização do trabalho","Se você tivesse oportunidade, aderiria ao trabalho remoto?","Como você acredita que o trabalho remoto possa afetar os estudos?","Você acredita que a carga horária do trabalho remoto em relação ao presencial é:","Você acredita que o rendimento no trabalho remoto em relação ao presencial é?","Qual é a sua vontade de trabalhar remotamente?","Você teria algum motivo para não trabalhar remotamente?","Tipo de trabalho","Começou a trabalhar remotamente com a pandemia?","O trabalho remoto afetou os estudos?","Horas trabalhadas","Se você já trabalhou presencialmente, acredita que no trabalho remoto sua carga horária:","Qual é seu nível de satisfação com o trabalho remoto?","Você acredita que o seu rendimento com trabalho remoto é:"
"2021/05/18 11:08:23 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Neutro","6","Sem alteções","7","Igual ao presencial"
"2021/05/18 11:09:40 PM GMT-3","Engenharia Ambiental","Não empregado","Sim","Neutro","Maior","Menor","1","Não rendo muito ficando apenas no computador, preciso de um ambiente bom com pessoas ","","","","","","",""
"2021/05/18 11:11:19 PM GMT-3","Química Licenciatura","Não empregado","Sim","Neutro","Maior","Igual","6","","","","","","","",""
"2021/05/18 11:13:30 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Não","Positivamente","8","Sem alteções","10","Maior"
"2021/05/18 11:14:52 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Neutro","6","Aumentou","6","Menor"
"2021/05/18 11:15:45 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Negativamente","14","Aumentou","2","Menor"
"2021/05/18 11:15:45 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Neutro","Maior","Menor","2","","","","","","","",""
"2021/05/18 11:32:05 PM GMT-3","Química Bacharelado","Não empregado","Sim","Neutro","Maior","Maior","8","Comodidade.","","","","","","",""
"2021/05/18 11:33:54 PM GMT-3","Sistemas de Informação","Empregado","Sim","Neutro","Maior","Maior","10","Não iria conseguir um local adequado em casa para realizar o trabalho remoto ","Presencial","","","","","",""
"2021/05/18 11:46:01 PM GMT-3","Sistemas de Informação","Empregado","Não","Positivamente","Igual","Maior","10","Não","Presencial","","","","","",""
"2021/05/18 11:47:31 PM GMT-3","Ciência da Computação","Não empregado","Sim","Negativamente","Maior","Menor","4","Só os horários de aulas coincidirem com a carga horária do trabalho","","","","","","",""
"2021/05/18 11:57:47 PM GMT-3","Física Bacharelado","Não empregado","Sim","Neutro","Igual","Menor","7","","","","","","","",""
"2021/05/19 12:36:14 AM GMT-3","Engenharia de Materiais","Não empregado","Sim","Neutro","Igual","Maior","7","Espaço apropriado","","","","","","",""
"2021/05/19 12:57:41 AM GMT-3","Sistemas de Informação","Não empregado","Sim","Neutro","Igual","Igual","10","Não ","","","","","","",""
"2021/05/19 1:01:37 AM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Não","Negativamente","6","Sem alteções","5","Menor"
"2021/05/19 1:19:33 AM GMT-3","Ciência da Computação","Não empregado","Sim","Positivamente","Igual","Maior","10","Não possuo","","","","","","",""
"2021/05/19 7:21:33 AM GMT-3","Engenharia Mecânica","Não empregado","Sim","Neutro","Menor","Menor","9","","","","","","","",""
"2021/05/19 7:24:56 AM GMT-3","Física Bacharelado","Não empregado","Sim","Negativamente","Igual","Maior","5","","","","","","","",""
"2021/05/19 7:28:37 AM GMT-3","Engenharia de Materiais","Não empregado","Sim","Neutro","Igual","Menor","5","","","","","","","",""
"2021/05/19 7:51:30 AM GMT-3","Engenharia Química","Não empregado","Não","Neutro","Maior","Menor","4","","","","","","","",""
"2021/05/19 8:14:18 AM GMT-3","Química Bacharelado","Não empregado","Sim","Neutro","Igual","Menor","7","Sim, internet irregular.","","","","","","",""
"2021/05/19 8:26:06 AM GMT-3","Sistemas de Informação","Não empregado","Sim","Neutro","Maior","Maior","7","Nenhum","","","","","","",""
"2021/05/19 8:26:29 AM GMT-3","Engenharia de Materiais","Empregado","","","","","","","Remoto","Sim","Neutro","2","Aumentou","7","Maior"
