,Tipo de trabalho,Impacto nos estudos,Carga Horária,Performance,Vontade x Satisfação,Categoria
0,Não empregado,Neutro,Maior,Menor,1.0,Não Remoto
1,Não empregado,Neutro,Maior,Igual,6.0,Não Remoto
2,Não empregado,Neutro,Maior,Menor,2.0,Não Remoto
3,Não empregado,Neutro,Maior,Maior,8.0,Não Remoto
4,Não empregado,Negativamente,Maior,Menor,4.0,Não Remoto
5,Não empregado,Neutro,Igual,Menor,7.0,Não Remoto
6,Não empregado,Neutro,Igual,Maior,7.0,Não Remoto
7,Não empregado,Neutro,Igual,Igual,10.0,Não Remoto
8,Não empregado,Positivamente,Igual,Maior,10.0,Não Remoto
9,Não empregado,Neutro,Menor,Menor,9.0,Não Remoto
10,Não empregado,Negativamente,Igual,Maior,5.0,Não Remoto
11,Não empregado,Neutro,Igual,Menor,5.0,Não Remoto
12,Não empregado,Neutro,Maior,Menor,4.0,Não Remoto
13,Não empregado,Neutro,Igual,Menor,7.0,Não Remoto
14,Não empregado,Neutro,Maior,Maior,7.0,Não Remoto
15,Não empregado,Negativamente,Maior,Menor,3.0,Não Remoto
16,Não empregado,Negativamente,Maior,Menor,1.0,Não Remoto
17,Não empregado,Neutro,Maior,Maior,6.0,Não Remoto
18,Não empregado,Neutro,Igual,Maior,8.0,Não Remoto
19,Não empregado,Neutro,Maior,Igual,3.0,Não Remoto
20,Não empregado,Neutro,Maior,Maior,8.0,Não Remoto
21,Não empregado,Negativamente,Igual,Menor,4.0,Não Remoto
22,Não empregado,Neutro,Menor,Menor,8.0,Não Remoto
23,Não empregado,Neutro,Maior,Maior,7.0,Não Remoto
24,Não empregado,Negativamente,Maior,Maior,9.0,Não Remoto
25,Não empregado,Negativamente,Maior,Menor,1.0,Não Remoto
26,Não empregado,Neutro,Igual,Menor,8.0,Não Remoto
27,Não empregado,Negativamente,Igual,Menor,9.0,Não Remoto
28,Não empregado,Neutro,Menor,Menor,6.0,Não Remoto
29,Não empregado,Neutro,Maior,Menor,8.0,Não Remoto
30,Não empregado,Neutro,Maior,Igual,6.0,Não Remoto
31,Não empregado,Positivamente,Igual,Menor,6.0,Não Remoto
32,Não empregado,Neutro,Menor,Igual,1.0,Não Remoto
33,Não empregado,Positivamente,Maior,Maior,5.0,Não Remoto
34,Não empregado,Negativamente,Menor,Menor,8.0,Não Remoto
